Item,Description,Details,Class Description,Rotating,Status,Location,Vendor,UNITCOST,DUPLICATES,Macro,,Commodity Code,"0 = Good, 1 = Duplicate, 2 = Cost?, 3 = 1&2"
100004,"Disconnect Switch, ABB, OTDC400UFV11-SH","Disconnect Switch, ABB, OTDC400UFV11-SH",INVENTORY,N,ACTIVE,d,,,,,,,
100005,"Nport Server, NPort, V2.1.0","Nport Server, NPort, V2.1.0",INVENTORY,N,ACTIVE,o,,,,,,,
100011,"MOXA Dataloger, MOXA, UV-8112-ME-T","MOXA Dataloger, MOXA, UV-8112-ME-T",INVENTORY,N,ACTIVE,o,,,,,,,
100019,"Antenna, Nextracker, XNTS-W2A3-1M-W-001","Antenna, Nextracker, XNTS-W2A3-1M-W-001",INVENTORY,N,ACTIVE,o,,,,,,,
100020,"Breaker, SMA, 6UP-577-001-001","Breaker, SMA, 6UP-577-001-001",INVENTORY,N,ACTIVE,o,,,,,,,
100021,"Combiner Box, Vynckier, CDF-HB32020-2011-1N-1VJ30","Combiner Box, Vynckier, CDF-HB32020-2011-1N-1VJ30",INVENTORY,N,ACTIVE,d,,,,,,,
100023,"SMA Stack, SMA, 6UP-200-001-001","SMA Stack, SMA, 6UP-200-001-001",INVENTORY,N,ACTIVE,o,,,,,,,
100024,"SMA Driver Board, SMA, 6UP-778-003-001","SMA Driver Board, SMA, 6UP-778-003-001",INVENTORY,N,ACTIVE,o,,,,,,,
100025,"Fan, SMA, 104789-00.01","Fan, SMA, 104789-00.01",INVENTORY,N,ACTIVE,o,,,,,,,
100026,"Fan, SMA, 46-107000.02","Fan, SMA, 46-107000.02",INVENTORY,N,ACTIVE,o,,,,,,,
100028,"Weather Sensor, Lufft, 8381.U01-NA","Weather Sensor, Lufft, 8381.U01-NA",INVENTORY,N,ACTIVE,o,,,,,,,
100029,"Loadbreak Switch, Eaton, LS2R338H3N1A","Loadbreak Switch, Eaton, LS2R338H3N1A",INVENTORY,N,ACTIVE,d,,,,,,,
100033,"Contact Changeover, SMA, ABB","Contact Changeover, SMA, ABB",INVENTORY,N,ACTIVE,o,,,,,,,
100037,"Transformer, SMA, 104940-00.03","Transformer, SMA, 104940-00.03",INVENTORY,N,ACTIVE,o,,,,,,,
100038,"Power Supply, Phoenix Contact, YRIO-PS-2G/1AC/24DC/5","Power Supply, Phoenix Contact, YRIO-PS-2G/1AC/24DC/5",INVENTORY,N,ACTIVE,o,,,,,,,
100040,"MOXA Switch, Moxa, EDS-205 V2.1.2","MOXA Switch, Moxa, EDS-205 V2.1.2",INVENTORY,N,ACTIVE,o,,,,,,,
100041,"Close Coil, SMA, 220-240V","Close Coil, SMA, 220-240V",INVENTORY,N,ACTIVE,d,,,,,,,
100046,"Surge Protector, Raycap, Strikesorb 35-G-HV-M","Surge Protector, Raycap, Strikesorb 35-G-HV-M",INVENTORY,N,ACTIVE,o,,,,,,,
100047,"Surge Protector, Raycap, Strikesorb 36-G","Surge Protector, Raycap, Strikesorb 36-G",INVENTORY,N,ACTIVE,o,,,,,,,
100048,"SMA Cap, SMA, 6UP-200-001-001","SMA Cap, SMA, 6UP-200-001-001",INVENTORY,N,ACTIVE,d,,,,,,,
100056,"Board, SMA, 6UP-450-007-001","Board, SMA, 6UP-450-007-001",INVENTORY,N,ACTIVE,d,,,,,,,
100057,"Board, SMA, 6UP-450-004-001","Board, SMA, 6UP-450-004-001",INVENTORY,N,ACTIVE,d,,,,,,,
100059,"Board, SMA, 6UP-450-008-001","Board, SMA, 6UP-450-008-001",INVENTORY,N,ACTIVE,d,,,,,,,
100061,"Power Supply, SMA, 6UP-840- 002-001","Power Supply, SMA, 6UP-840- 002-001",INVENTORY,N,ACTIVE,d,,,,,,,
100062,"SPC WS, Nextracker, SPC150A-WS","SPC WS, Nextracker, SPC150A-WS",INVENTORY,N,ACTIVE,o,,,,,,,
100064,"SPC, Nextracker, SPC150B","SPC, Nextracker, SPC150B",INVENTORY,N,ACTIVE,o,,,,,,,
100065,"Anemometer, Gill, 1405-PK-038","Anemometer, Gill, 1405-PK-038",INVENTORY,N,ACTIVE,o,,,,,,,
100067,"BOM Sensor, Jumo, 00714609","BOM Sensor, Jumo, 00714609",INVENTORY,N,ACTIVE,o,,,,,,,
100068,"Fiber Patch Cable, FSPDB22.02M, 2M","Fiber Patch Cable, FSPDB22.02M, 2M",INVENTORY,N,ACTIVE,d,,,,,,,
100070,"Damper, Nextracker, 20684","Damper, Nextracker, 20684",INVENTORY,N,ACTIVE,o,,,,,,,
100075,"IGBT 1500v, Power Electronics, E2150101074AA","IGBT 1500v, Power Electronics, E2150101074AA",INVENTORY,N,ACTIVE,o,,,,,,,
100086,"Control Board, Power Electronics, E307xx","Control Board, Power Electronics, E307xx",INVENTORY,N,ACTIVE,o,,,,,,,
100087,"Power Board, Power Electronics, E643FB","Power Board, Power Electronics, E643FB",INVENTORY,N,ACTIVE,o,,,,,,,
100092,"DU Door Latches, Power Electronics, M2020","DU Door Latches, Power Electronics, M2020",INVENTORY,N,ACTIVE,o,,,,,,,
100095,"AC RFI Board, Power Electronics, E650xx","AC RFI Board, Power Electronics, E650xx",INVENTORY,N,ACTIVE,o,,,,,,,
100096,"DC RFI Board, Power Electronics, E666xx","DC RFI Board, Power Electronics, E666xx",INVENTORY,N,ACTIVE,o,,,,,,,
100097,"24v Power Supply, Power Electronics, L1882","24v Power Supply, Power Electronics, L1882",INVENTORY,N,ACTIVE,o,,,,,,,
