Part Number,Unit Cost
VRA.V0A31.5,11681.53
ZED.00425,269.46
ZED.00426,186.17
ZED.00427,744.78
ZED.00428,114.94
ZED.00429,68.53
ZSK.00099,105.94
ZED.00068,35.82
ZER.00001,4.82
ZEF.00103,236.06
ZED.00061,7.61
VRA.P0086.2,2124.09
82100001642,429.59
VRA.V0A09.5,176.82
VRA.V0A30.0,5729.11
ZER.00034,24.08
YVD.01017,391.26
ZEF.00116,4.82
ZEF.00117,15.17
ZEF.00118,15.17
VRA.P0057.1,811.2
ZER.00011,19.79
YVD.V2H11.0,1574.08
VRA.V0A51.1,1046.5
ZFE.00003,4313.11
XYD.00010,322.77
ZFV.V1J00.0,1044.82
ZFV.00157,1011.21
VRA.V1101.1,225
XRZ.00027,221.25
16-13134,262.87
90-401300.02,24.94
95-119900.04,254.67
95-122900.04,30.82
95-127900.03,38.01
103391-00.01,320.52
103395-00.01,471.07
103397-00.01,577.22
103429-00.01,3340.78
103596-00.01,77.79
103607-00.01,75.33
103609-00.01,99.07
103610-00.01,101.78
103611-00.01,104.81
103615-00.02,208.07
42-62120014,5.58
42-62130017,29.81
43-103700.01,17.65
43-163200.01,8.73
60-105400.01,51.57
6UP-450-001-001,1517.58
6UP-450-006-001,1260.9
SC30DCM.GR4,1019.84
6UP-720-003-001,4088.23
101282-00.03,1505.07
6UP-840-001-001,984.72
20-1410,13.41
20-2130,83.39
60-201000,98.33
64-100000.01,73.75
100493-00.01,118.23
105060-00.01,608.64
124861-00.01,12.38
SC30EMC.BG1,109.5
26-9061,13.61
26-096004001,5.72
61-04111,28.48
61-018053,9.15
61-106300.01,33.38
119839-00.01,150.28
6UP-849-002-001,1135.57
60-0091123,92.46
103031-00.01,1162.09
61-106200.01,106.98
62-952315,205.06
6AA-570-000-001,12346.11
6UP-577-003-001,5570.73
6UP-577-007-001,181.08
20-0830,29.85
60-0600,265.91
60-00562,12.09
60-13365,11.42
60-90452,106.6
60-90455,130.33
60-003030,48.67
60-005481,21.75
60-105700.01,342.88
60-001050032204,1237.14
61-117117,12.12
61-117118,8.07
61-230300.01,19.33
61-1263100.01,100.31
102045-00.01,35.66
102064-00.01,14.95
102065-00.01,12.76
103132-00.01,746.12
103140-00.01,33.22
108985-00.01,1500.69
6AA-778-001-304,18645
6AA-778-004-004,2346.29
66-114100.01,6.93
102021-00.01,39.4
102040-00.01,41.01
60-154060,37.61
114023-00.01,20.11
01-8378030,277.57
6AA-200-001-001,2843.98
116543-00.01,192.01
6UP-720-002-002,
42-62120014,5.58
42-62130017,29.81
43-103700.01,17.65
6UP-450-001-001,1517.58
6UP-450-002-004,2683.75
6UP-450-005-001,1267.06
6UP-450-006-001,1260.9
6UP-450-008-002,868.97
6UP-450-010-001,176.51
100493-00.01,118.23
105060-00.01,608.64
116556-00.01,827.71
124861-00.01,12.38
16-1020,14.63
20-06795,9.32
20-06796,9.29
20-06797,9.4
20-06800,15.68
20-1410,13.41
20-2130,83.39
60-201000,98.33
64-100000.01,73.74
6UP-840-001-001,984.72
6UP-840-002-001,598.29
101815-00.01,136.5
101821-00.01,141.25
101829-00.01,209.05
101834-00.01,152.15
101835-00.01,220.35
101839-00.01,220.35
101846-00.01,237.19
116301-00.01,7.18
119839-00.01,150.28
26-096004001,5.72
6UP-450-009-003,1136.78
6UP-849-002-001,1135.57
61-106200.01,106.98
62-952315,205.06
103132-00.01,746.12
103140-00.01,33.22
116554-00.01,276.85
20-0830,29.85
60-001050032204,2203.5
60-005481,21.75
60-00562,12.09
60-13365,11.42
60-90452,106.6
60-90455,130.33
61-117117,12.12
61-117118,8.07
61-1263100.01,100.31
61-230300.01,19.33
6UP-577-002-001,13249.43
6UP-577-003-001,5570.73
6UP-577-007-001,181.08
114023-00.01,20.11
60-154060,37.61
6UP-200-001-002,1785.4
4FBG9683P024,1486
4FBG9683P025,1393
5P3H3346P059,464
AFBP3046P012,511
4FBG9762P011,5571
4FBG9762P001,3714
4FBG4514P002,1300
4KAG0172G021,1509
4FBG9761P007,364
4FBG9761P004,350
4FBG9761P003,360
4FBG9761P001,420
4FBG9761P005,320
4FBG9761P002,384
4FBG4552P006,260
4FBG4552P024,260
4FBG4590P003,1207
AFBP3021P001,1857
4FBG4552P011,279
4EAG0709G002,3436
4KAG0263G021,1263
4KAG0194G021,1207
4KAG0195G021,1021
4FBG9765P002,1857
4FBG9801P002,1579
4FBQ1017P001,1300
4FBQ1017P002,2229
4FBG9752P011,2300
AEAP3510G004,18790
AEAP3508P001,52744
4FBG0321P045,29888
AFBP3053P011,14944
AFBP3058P005,13096
AFBP3052P001,12656
4FBG4514P001,5712
4EAG0709G002,5488
702MUS-L01,5448
4FBA2489P104,4832
4FBG0487P021,4464
041237036-01,4400
4FBG0268P002,4192
AFBP3057P001,3872
4FBG4529P001,3784
BTKEZPLCP-D-64E-CONF,3728
4FBG0792P002,3344
4FBF0157P004,3200
4KAG0175G001,3080
4KAG0083G001,2936
4KAG0149G001,2904
4KAG0172G021,2904
4KAG0171G001,2816
NZMH2-A100-NA,2800
4KAG0173G001,2728
5P3H4097P211,2240
4FBG0476P001,2200
5P3H3346P120,2152
4FBGA300P012,2112
040749036-01,2000
NZMH2-A20-NA,1672
639Q074,1640
5AR21C100EPAES,1624
BTKEWSA-PT100-TX,1624
5P3H1698P061,1600
5P3H1496P006,1584
4FBH0487P002,1562
5P3A3048P021,1440
5P3H1698P063,1408
BTKEZIOP-8ANIV,1408
BTKEZIOP-8ANIC,1408
BTK4583.000,1200
4FBF0238P007,960
4FBG4513P001,920
4FBG0592P021,880
